match_id,match_date,competition,season,home_team,away_team,home_score,away_score,home_combined_delta,away_combined_delta,net_delta,bet_side,predicted_team,success,actual_home_xg,actual_away_xg
3825632,2015-10-19,La Liga,2015/2016,Sporting Gijón,Granada,3,3,-1.2628048624970902,-0.7891184458402623,-0.473686416656828,away,Granada,False,0.8932045460000001,1.981645771
3825633,2015-10-23,La Liga,2015/2016,Rayo Vallecano,Espanyol,3,0,-0.8163958918703013,-1.3948057700640915,0.5784098781937902,home,Rayo Vallecano,True,2.250017462,1.3099076539999999
3890340,2015-10-23,1. Bundesliga,2015/2016,Hoffenheim,Hamburger SV,0,1,-0.09275859983766646,-1.1528327939031306,1.060074194065464,home,Hoffenheim,False,0.7225691017,2.2001780568
3754133,2015-10-24,Premier League,2015/2016,Norwich City,West Bromwich Albion,0,1,-0.08723940581164041,-0.9037889970570545,0.8165495912454142,home,Norwich City,False,0.7781621409999999,0.5951467920000001
3754288,2015-10-24,Premier League,2015/2016,West Ham United,Chelsea,2,1,-0.5085477058955388,-0.07048480098362206,-0.4380629049119167,away,Chelsea,False,0.7849844615999999,0.7624511771
3825635,2015-10-24,La Liga,2015/2016,Celta Vigo,Real Madrid,1,3,-0.19584271598802538,0.21117684513074278,-0.40701956111876814,away,Real Madrid,True,1.5985029682999998,2.0952453139999996
3829517,2015-10-24,Ligue 1,2015/2016,Gazélec Ajaccio,OGC Nice,3,1,-0.7567191084109086,0.13159092641320644,-0.8883100348241151,away,OGC Nice,False,0.746791396,0.34925623389999993
3879577,2015-10-24,Serie A,2015/2016,Empoli,Genoa,2,0,-0.4345887341894391,0.08102644105015784,-0.515615175239597,away,Genoa,False,1.794588235,0.6065515826
3879578,2015-10-24,Serie A,2015/2016,Carpi,Bologna,1,2,-0.33972702734469234,-1.1003975204543157,0.7606704931096233,home,Carpi,False,0.684851392,1.9710119241000004
3890341,2015-10-24,1. Bundesliga,2015/2016,Bayern Munich,FC Köln,4,0,1.3242582418854396,0.19890746569239923,1.1253507761930404,home,Bayern Munich,True,3.6606287130000004,0.182453062
3890343,2015-10-24,1. Bundesliga,2015/2016,Ingolstadt,Hertha Berlin,0,1,-0.6619039762787037,-0.13685369795343896,-0.5250502783252647,away,Hertha Berlin,True,0.8783461479999999,0.869740588
3890344,2015-10-24,1. Bundesliga,2015/2016,FSV Mainz 05,Werder Bremen,1,3,0.32663571042085554,-0.7234190909528859,1.0500548013737414,home,FSV Mainz 05,False,1.7521579649999999,2.071160215
3890346,2015-10-24,1. Bundesliga,2015/2016,Bayer Leverkusen,VfB Stuttgart,4,3,-0.15776473358541923,0.8571710970052526,-1.014935830590672,away,VfB Stuttgart,False,2.96329161,1.790840584
3754015,2015-10-25,Premier League,2015/2016,Manchester United,Manchester City,0,0,0.14565360041613565,1.0456572605369148,-0.9000036601207791,away,Manchester City,False,0.344773899,0.32408150339999997
3754230,2015-10-25,Premier League,2015/2016,Liverpool,Southampton,1,1,0.38599176072247754,-0.15571675916000477,0.5417085198824823,home,Liverpool,False,0.6509212413,1.490846337
3829518,2015-10-25,Ligue 1,2015/2016,Lille,Marseille,1,2,-0.3147768382362301,0.3966517098272728,-0.711428548063503,away,Marseille,True,0.68731297,1.459104036
3829519,2015-10-25,Ligue 1,2015/2016,Paris Saint-Germain,Saint-Étienne,4,1,0.9961706346785135,0.5249005686963492,0.47127006598216437,home,Paris Saint-Germain,True,4.125881585300001,0.7544148927
3829520,2015-10-25,Ligue 1,2015/2016,Stade de Reims,AS Monaco,0,1,-0.34597497240538255,0.12178297929191839,-0.46775795169730094,away,AS Monaco,True,1.0709863444999999,1.233639591
3879583,2015-10-25,Serie A,2015/2016,Fiorentina,AS Roma,1,2,0.44148943046878686,0.9203527591716811,-0.4788633287028943,away,AS Roma,True,1.571951432,1.130541658
3879584,2015-10-25,Serie A,2015/2016,Udinese,Frosinone,1,0,-0.616830962016764,-0.1680298063827382,-0.4488011556340258,away,Frosinone,False,2.04514656,0.5073643995
3879585,2015-10-25,Serie A,2015/2016,AC Milan,Sassuolo,2,1,0.31848545904608966,-0.4566700896846212,0.7751555487307109,home,AC Milan,True,1.977118351,0.083188705
3879586,2015-10-25,Serie A,2015/2016,Sampdoria,Hellas Verona,4,1,-0.03698806439305555,-0.8169773877562497,0.7799893233631942,home,Sampdoria,True,2.1237158016,0.8567639179999998
3890347,2015-10-25,1. Bundesliga,2015/2016,Borussia Dortmund,Augsburg,5,1,0.6720155406959308,-0.10040543578002514,0.772420976475956,home,Borussia Dortmund,True,4.028479287000001,0.40094397
3879591,2015-10-28,Serie A,2015/2016,Sassuolo,Juventus,1,0,0.06985524552533673,0.599356982170961,-0.5295017366456243,away,Juventus,False,0.24639922600000003,0.5275933740000001
3879592,2015-10-28,Serie A,2015/2016,AS Roma,Udinese,3,1,0.7533291438451979,0.14005866457836472,0.6132704792668332,home,AS Roma,True,1.4971693925,0.6045081633999999
3879594,2015-10-28,Serie A,2015/2016,AC Milan,Chievo,1,0,0.21078743158937427,-0.3843180409330448,0.5951054725224191,home,AC Milan,True,1.4965068924999998,0.216930767
3879596,2015-10-29,Serie A,2015/2016,Sampdoria,Empoli,1,1,0.4523156575088184,-0.7944122892494506,1.246727946758269,home,Sampdoria,False,0.8980838379999999,0.7139185827000001
3890349,2015-10-30,1. Bundesliga,2015/2016,Eintracht Frankfurt,Bayern Munich,0,0,0.15464054558809973,1.244242679656799,-1.0896021340686992,away,Bayern Munich,False,0.43722537,1.473892872
3900490,2015-10-30,Ligue 1,2015/2016,Rennes,Paris Saint-Germain,0,1,0.6588012837840811,1.1352652993914862,-0.47646401560740514,away,Paris Saint-Germain,True,0.31041272400000003,0.6717539114999999
3754006,2015-10-31,Premier League,2015/2016,West Bromwich Albion,Leicester City,2,3,-0.5161068703013492,0.11816344602704767,-0.6342703163283968,away,Leicester City,True,1.9870628994999997,1.679065363
3754090,2015-10-31,Premier League,2015/2016,Newcastle United,Stoke City,0,0,-0.31075856418557846,-0.8487066911491341,0.5379481269635557,home,Newcastle United,False,1.330554626,1.3440481457
3754223,2015-10-31,Premier League,2015/2016,Crystal Palace,Manchester United,0,0,0.3261173981779186,-0.5194164837276668,0.8455338819055854,home,Crystal Palace,False,0.87627269,0.578693956
3754273,2015-10-31,Premier League,2015/2016,Watford,West Ham United,2,0,-0.5557296437766112,0.21544271401845955,-0.7711723577950707,away,West Ham United,False,1.846928826,0.8667123723000001
3825643,2015-10-31,La Liga,2015/2016,Real Madrid,Las Palmas,3,1,-0.055882420645837594,-0.8057035104463924,0.7498210898005548,home,Real Madrid,True,2.5126636615000004,0.923052246
3890353,2015-10-31,1. Bundesliga,2015/2016,Werder Bremen,Borussia Dortmund,1,3,0.089627197227857,1.348291292226701,-1.258664094998844,away,Borussia Dortmund,True,1.3308466105,3.1254577400000008
3890355,2015-10-31,1. Bundesliga,2015/2016,Schalke 04,Ingolstadt,1,1,0.09278349446755425,-0.5772704372700759,0.6700539317376302,home,Schalke 04,False,1.0736901620000001,0.28386133899999993
3900493,2015-10-31,Ligue 1,2015/2016,Troyes,Lyon,0,1,0.11253303105712478,-0.35757221438188674,0.47010524543901155,home,Troyes,False,0.476020362,2.6250779459999998
3900494,2015-10-31,Ligue 1,2015/2016,Gazélec Ajaccio,Bordeaux,2,0,-0.6272478081149676,0.024175536308892603,-0.6514233444238602,away,Bordeaux,False,0.4933229760000001,0.21969508199999999
