date,championship,series_id,map_number,hawk_match_id,team1,team2,team1_heroes,team2_heroes,winner,delta,delta_favored_team,team1_odds,team2_odds
2024-11-19,European Pro League S21,69982,1,145440,DMS,Passion UA,Tusk|Batrider|Storm Spirit|Terrorblade|Alchemist,Dragon Knight|Lion|Phoenix|Ember Spirit|Beastmaster,DMS,-15.62,Passion UA,1.90,1.76
2024-11-19,CCT Series 5,69987,2,145442,One Move,NAVI Junior,Naga Siren|Monkey King|Dark Willow|Shadow Fiend|Dawnbreaker,Tiny|Luna|Muerta|Timbersaw|Ogre Magi,NAVI Junior,-20.64,NAVI Junior,2.43,1.52
2024-11-19,1win Series Fall,69985,2,145438,Gaimin Gladiators,Nigma Galaxy,Chen|Medusa|Muerta|Primal Beast|Doom,Razor|Clockwerk|Pangolier|Batrider|Morphling,Nigma Galaxy,17.78,Gaimin Gladiators,1.37,2.94
2024-11-19,CCT Series 5,69944,1,145397,Palianytsia,One Move,Medusa|Nyx Assassin|Shadow Demon|Primal Beast|Queen of Pain,Monkey King|Doom|Pangolier|Dark Willow|Enchantress,One Move,18.91,Palianytsia,2.46,1.51
2024-11-19,European Pro League S21,69942,1,145380,NAVI Junior,Nemiga Gaming,Viper|Primal Beast|Ogre Magi|Gyrocopter|Shadow Shaman,Pangolier|Dragon Knight|Hoodwink|Sand King|Enchantress,NAVI Junior,22.53,NAVI Junior,1.22,3.80
2024-11-19,European Pro League S21,69942,2,145390,NAVI Junior,Nemiga Gaming,Beastmaster|Templar Assassin|Lion|Sand King|Ancient Apparition,Snapfire|Clinkz|Morphling|Centaur Warrunner|Elder Titan,NAVI Junior,-36.79,Nemiga Gaming,1.19,4.35
2024-11-19,CCT Series 5,69943,1,145371,MOUZ,Passion UA,Earth Spirit|Centaur Warrunner|Gyrocopter|Shadow Demon|Chen,Bristleback|Phoenix|Lion|Dragon Knight|Storm Spirit,MOUZ,-16.78,Passion UA,1.40,2.80
2024-11-20,European Pro League S21,70015,1,145535,4Pirates,Level Up,Pugna|Lion|Dragon Knight|Timbersaw|Puck,Tusk|Hoodwink|Shadow Fiend|Pangolier|Dawnbreaker,4Pirates,18.81,4Pirates,2.60,1.45
2024-11-20,CCT Series 5,70007,1,145518,Nemiga Gaming,Palianytsia,Dawnbreaker|Rubick|Pangolier|Clockwerk|Morphling,Nature's Prophet|Lycan|Jakiro|Primal Beast|Tiny,Nemiga Gaming,18.20,Nemiga Gaming,2.12,1.67
2024-11-20,CCT Series 5,70007,2,145555,Nemiga Gaming,Palianytsia,Invoker|Lion|Sven|Dazzle|Pangolier,Bloodseeker|Lina|Rubick|Axe|Clockwerk,Nemiga Gaming,-18.49,Palianytsia,2.45,1.51
2024-11-20,BetBoom Streamers Battle 8,70027,1,145527,Ephey Team,Goodwin Team,Venomancer|Troll Warlord|Lycan|Pudge|Skywrath Mage,Puck|Enigma|Oracle|Phoenix|Gyrocopter,Goodwin Team,-22.41,Goodwin Team,2.20,1.60
2024-11-20,CCT Series 5,70011,1,145526,Palianytsia,NAVI Junior,Chaos Knight|Bristleback|Storm Spirit|Lion|Pugna,Viper|Shadow Demon|Mars|Templar Assassin|Rubick,NAVI Junior,15.25,Palianytsia,3.25,1.31
2024-11-20,CCT Series 5,70011,2,145532,Palianytsia,NAVI Junior,Broodmother|Pangolier|Techies|Lion|Night Stalker,Tiny|Shadow Demon|Beastmaster|Razor|Rubick,NAVI Junior,-27.66,NAVI Junior,3.05,1.35
2024-11-20,1win Series Fall,69937,1,145335,1win Team,OG,Gyrocopter|Naga Siren|Ember Spirit|Monkey King|Beastmaster,Pugna|Dawnbreaker|Batrider|Medusa|Queen of Pain,1win Team,-35.03,OG,1.93,1.89
2024-11-20,CCT Series 5,70004,2,145506,Nemiga Gaming,NAVI Junior,Lion|Medusa|Dawnbreaker|Bane|Ember Spirit,Phoenix|Alchemist|Dark Seer|Rubick|Tiny,NAVI Junior,-26.21,NAVI Junior,5.13,1.14
2024-11-20,Asian Dragon Series: Regional Collision,69996,2,145509,Ivory,Myth Avenue Gaming,Beastmaster|Lina|Leshrac|Tusk|Shadow Fiend,Invoker|Batrider|Sand King|Clockwerk|Weaver,Myth Avenue Gaming,-19.21,Myth Avenue Gaming,1.31,3.27
2024-11-20,Asian Dragon Series: Regional Collision,69994,2,145475,Team Essence,Manta Esports,Luna|Puck|Underlord|Clockwerk|Phoenix,Void Spirit|Dawnbreaker|Dragon Knight|Omniknight|Muerta,Team Essence,17.22,Team Essence,1.67,2.13
2024-11-21,EPL World AM S14,70084,1,145705,FUSION,AcatSuki,Dark Willow|Primal Beast|Slark|Grimstroke|Dragon Knight,Pangolier|Batrider|Dazzle|Morphling|Tusk,FUSION,30.62,FUSION,1.29,3.35
2024-11-21,CCT Series 5,70073,1,145660,1win Team,Dragon Esports Club,Doom|Tiny|Gyrocopter|Clockwerk|Hoodwink,Storm Spirit|Nyx Assassin|Phoenix|Dawnbreaker|Spectre,Dragon Esports Club,-19.73,Dragon Esports Club,1.36,3.00
2024-11-21,CCT Series 5,70073,2,145710,1win Team,Dragon Esports Club,Monkey King|Mars|Muerta|Enchantress|Medusa,Faceless Void|Pangolier|Magnus|Hoodwink|Phoenix,Dragon Esports Club,-16.67,Dragon Esports Club,1.40,2.83
2024-11-21,BetBoom Streamers Battle 8,70075,1,145662,Stray Team,Stariy bog Team,Earthshaker|Wraith King|Enigma|Ember Spirit|Silencer,Marci|Crystal Maiden|Phantom Assassin|Rubick|Storm Spirit,Stray Team,20.46,Stray Team,1.30,3.20
